RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
109,123,119,138,117,127,116,133,218,14,9,3,0,52,0,145,0,255,0,3,4,6,1,255
128,146,133,154,136,145,132,154,255,6,13,2,0,97,0,75,0,255,0,4,5,8,0,255
105,145,118,164,132,183,115,161,234,10,17,2,0,133,0,149,0,255,1,3,5,5,0,255
104,113,154,181,189,229,143,166,255,0,22,4,0,16,0,117,0,255,0,3,4,8,0,255
159,199,164,200,169,199,163,200,244,21,10,2,0,103,0,171,200,255,0,5,6,7,1,255
127,157,125,168,117,140,125,168,247,3,14,2,0,126,0,119,71,255,0,4,5,8,0,255
123,135,140,161,71,74,127,143,247,0,11,3,0,55,0,124,0,255,1,4,4,7,0,255
95,109,94,109,74,78,92,106,255,0,10,2,0,102,0,104,0,255,0,3,3,7,0,255
134,142,126,126,116,115,127,126,252,5,9,2,0,79,0,160,0,255,0,4,4,8,0,255
116,107,115,107,107,93,114,105,255,0,7,2,0,105,0,145,0,255,1,4,3,8,0,255
125,116,118,111,115,114,120,112,255,4,7,3,0,70,0,183,153,255,0,4,4,8,0,255
129,172,121,155,109,114,122,157,240,11,12,2,0,116,0,197,0,255,0,4,5,8,1,255
114,113,111,118,61,51,106,107,239,0,14,4,0,29,0,123,0,255,0,4,4,7,0,255
131,149,136,155,134,147,134,152,251,18,11,2,0,90,0,146,228,255,0,4,5,7,1,255
132,133,141,154,106,81,134,140,255,0,13,3,0,54,0,125,0,255,0,4,4,8,0,255
151,154,150,152,143,144,149,151,255,0,4,2,0,119,0,177,104,255,0,5,5,8,0,255
148,199,150,198,157,198,150,198,251,12,13,2,0,162,0,207,55,255,0,5,6,8,0,255
138,165,113,124,75,60,116,129,253,2,14,2,0,92,0,238,169,255,0,4,5,8,0,255
114,128,120,134,106,100,116,131,246,9,8,2,0,111,0,81,0,255,0,4,4,7,0,255
177,181,178,184,180,187,178,183,254,19,15,3,0,74,0,243,0,255,0,6,6,8,1,255
141,154,140,153,132,140,139,152,255,0,8,2,0,102,0,213,0,255,0,4,5,7,0,255
110,120,122,145,106,102,116,133,247,0,10,2,0,104,0,103,225,255,0,3,4,7,0,255
111,127,109,124,103,116,109,124,249,9,6,2,0,70,0,131,0,255,0,3,4,6,0,255
122,158,149,201,178,241,144,193,254,1,18,2,0,131,0,156,0,255,0,4,5,7,0,255
103,140,102,135,99,127,102,135,236,0,10,2,0,130,0,67,30,255,1,3,4,6,0,255
139,174,164,215,182,243,159,206,255,13,33,2,0,145,0,186,255,255,0,4,5,6,1,255
115,158,112,153,81,103,110,149,255,0,11,2,0,124,0,184,0,255,0,4,5,8,0,255
106,86,108,89,103,101,107,90,243,22,7,2,0,87,0,137,0,255,0,3,3,7,1,255
117,128,131,140,148,157,129,138,207,1,22,1,0,148,0,75,0,255,1,4,4,6,0,255
103,104,101,106,99,103,101,105,255,4,10,3,1,68,0,98,0,255,1,3,3,8,0,255
80,59,84,68,70,46,81,62,255,0,7,3,1,75,0,81,255,255,0,2,2,8,0,255
