RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
81,71,78,65,74,54,78,65,255,7,22,2,1,97,0,44,0,255,1,3,2,7,0,255
134,119,151,148,109,94,141,136,255,15,10,3,1,62,0,91,0,255,2,4,4,8,1,255
100,91,93,66,84,42,94,72,255,0,21,2,1,140,0,27,0,255,0,3,3,8,0,255
124,180,118,165,111,153,119,168,255,0,19,1,0,180,0,5,0,255,0,4,6,8,0,255
80,9,86,23,109,106,87,24,255,0,21,2,0,146,0,0,255,255,0,3,1,8,0,255
105,94,102,82,81,46,100,81,255,0,24,1,0,200,1,34,255,255,0,3,3,8,0,255
108,85,112,94,98,55,109,88,255,3,20,2,0,153,0,34,255,255,1,3,3,8,0,255
76,66,81,69,73,54,78,66,255,0,11,3,1,93,0,45,0,255,0,2,2,8,0,255
148,158,172,200,192,233,167,190,210,11,7,4,0,49,0,145,0,255,5,5,5,6,0,255
118,134,132,149,80,42,122,131,255,1,10,2,0,95,0,79,255,255,2,4,4,8,0,255
60,43,60,45,58,41,60,44,207,0,29,2,1,135,1,0,255,255,3,2,2,6,0,255
89,108,89,105,89,90,89,105,255,0,20,2,0,162,0,29,255,255,0,3,3,8,0,255
106,65,109,63,91,44,106,56,239,5,24,1,0,167,0,55,0,255,1,3,2,7,0,255
95,105,96,103,92,90,96,101,251,5,16,2,0,126,0,37,175,255,0,3,3,7,0,255
143,135,134,122,111,88,134,122,255,0,16,2,0,98,0,140,0,255,0,4,4,8,1,255
140,161,140,130,154,128,142,136,254,0,18,2,0,135,0,135,255,255,0,4,5,8,0,255
146,164,150,146,134,123,147,144,238,0,9,1,0,136,0,59,0,255,3,5,5,7,1,255
117,97,119,111,94,55,116,99,255,0,18,2,0,161,0,63,0,255,3,4,3,8,0,255
140,128,128,112,117,95,130,115,255,1,10,2,0,107,0,109,0,255,0,4,4,8,1,255
106,78,109,80,76,52,105,78,255,0,19,3,1,88,0,78,255,255,0,3,2,8,0,255
159,181,143,153,123,131,145,160,255,0,9,3,0,62,0,109,255,255,3,5,6,8,0,255
67,10,65,10,64,8,65,10,255,0,25,3,1,119,0,9,0,255,3,2,0,8,0,255
125,133,119,120,75,58,116,117,255,1,9,2,0,129,0,87,133,255,0,4,4,8,0,255
147,139,122,114,81,6,125,111,255,3,10,2,0,116,0,44,255,255,3,5,4,8,0,255
137,127,171,179,209,242,165,169,255,0,18,5,0,24,0,99,0,255,2,4,4,8,0,255
112,117,98,102,82,72,100,106,255,2,8,2,1,88,0,79,0,255,0,4,4,8,1,255
104,88,103,94,98,73,103,91,254,0,17,2,0,122,0,29,0,255,5,3,3,8,0,255
112,76,120,96,94,62,115,88,255,1,15,2,1,124,0,27,255,255,9,4,3,8,1,255
82,86,112,112,71,8,98,82,251,0,23,2,1,109,0,7,0,255,4,3,3,8,0,255
247,255,245,255,239,255,245,255,255,18,11,23,0,11,0,255,0,255,2,8,8,8,2,255
156,184,152,190,150,195,153,188,251,1,14,1,0,119,0,31,0,255,5,5,6,8,1,255
144,145,123,117,103,91,127,122,255,0,12,3,1,68,0,146,0,255,0,5,5,8,1,255
125,187,129,195,116,182,126,189,251,0,23,1,0,215,0,45,0,255,1,4,6,7,0,255
161,177,171,188,146,162,165,180,255,0,17,3,0,66,0,61,0,255,2,5,6,8,0,255
97,69,99,71,81,45,97,68,255,0,15,2,1,93,0,49,0,255,3,3,2,8,0,255
140,127,141,126,141,125,141,126,254,4,18,2,0,117,0,82,0,255,6,4,4,8,1,255
89,80,91,83,79,65,89,79,243,0,14,2,0,120,0,1,255,255,0,3,3,7,0,255
139,122,149,138,105,67,141,125,255,1,16,2,1,62,0,62,255,255,0,4,4,8,1,255
187,214,183,214,179,205,183,215,255,0,10,3,0,86,0,226,0,255,0,6,6,8,1,255
110,92,113,94,92,73,109,89,255,15,15,3,1,82,0,71,0,255,0,3,3,8,1,255
106,85,110,85,100,68,108,81,255,0,14,2,1,140,0,42,0,255,0,3,3,8,0,255
137,153,127,141,110,124,128,142,255,0,15,2,0,106,0,47,0,255,1,4,5,8,0,255
155,177,159,176,136,172,155,176,255,25,14,1,0,112,0,91,92,255,0,5,5,8,1,255
105,91,117,120,118,114,114,120,255,0,17,3,0,64,0,39,0,255,0,3,3,8,0,255
138,184,139,183,128,180,137,182,255,1,14,1,0,136,0,71,0,255,0,4,6,8,0,255
108,156,101,132,75,65,100,131,234,2,14,1,0,138,0,30,255,255,4,3,4,7,0,255
114,106,115,110,111,104,115,108,255,5,7,2,0,75,0,94,0,255,0,4,3,8,0,255
85,79,85,75,68,42,83,74,230,2,10,2,0,111,0,27,0,255,0,3,2,7,0,255
77,26,77,36,61,11,75,30,255,0,26,2,1,118,0,12,0,255,1,2,1,8,0,255
118,99,124,110,106,82,120,103,255,0,15,2,1,107,0,68,0,255,1,4,3,8,0,255
130,166,130,169,117,144,128,162,253,0,15,1,0,164,0,36,0,255,3,4,5,8,0,255
102,105,93,77,94,57,96,103,221,0,21,1,0,179,0,3,0,255,0,3,3,7,0,255
111,146,116,146,109,136,114,145,226,3,16,1,0,141,0,17,0,255,4,3,5,7,0,255
122,92,128,97,112,94,124,95,255,1,12,2,1,104,0,56,255,255,0,4,3,8,1,255
122,95,124,102,118,105,122,100,255,2,12,2,0,121,0,38,255,255,1,4,3,8,0,255
105,71,106,79,82,42,103,72,254,0,18,2,1,94,0,76,255,255,0,3,2,8,0,255
111,97,109,91,106,86,109,92,240,1,16,2,0,139,0,177,255,255,0,3,3,7,0,255
144,172,141,153,137,148,141,156,233,7,19,2,0,126,0,41,0,255,2,5,5,7,1,255
133,154,140,158,133,159,137,157,255,11,12,2,0,110,0,71,255,255,0,4,5,8,0,255
105,127,105,122,99,108,105,122,255,0,19,2,0,108,0,10,0,255,2,3,4,8,0,255
89,66,95,63,87,53,93,64,251,0,14,1,0,133,0,12,0,255,0,3,3,8,0,255
123,146,128,139,100,124,123,139,251,2,15,1,0,132,0,37,0,255,0,4,5,7,0,255
102,107,92,86,83,73,94,90,251,0,24,1,0,184,1,0,0,255,0,3,3,8,0,255
152,198,174,188,175,179,167,190,255,0,12,2,0,98,0,34,184,255,0,5,6,8,0,255
126,173,131,173,124,169,129,173,255,0,18,1,0,164,0,24,255,255,3,4,5,8,0,255
154,165,153,173,144,171,153,171,224,1,10,3,0,70,0,162,0,255,0,5,5,7,0,255
105,85,110,92,91,76,106,86,236,12,21,2,1,82,0,63,248,255,0,3,3,8,1,255
121,100,149,127,106,103,135,116,255,0,17,1,0,138,0,139,255,255,0,4,3,8,0,255
84,76,88,87,46,31,82,78,255,2,7,3,1,63,0,183,255,255,7,3,3,7,0,255
114,88,120,97,103,89,116,93,253,0,25,2,1,115,0,60,255,255,2,4,3,8,0,255
127,109,151,143,92,44,137,121,239,3,13,2,0,109,0,133,255,255,0,4,3,7,0,255
242,255,241,255,235,255,241,255,255,13,14,17,0,19,0,255,0,255,0,8,8,8,1,255
147,177,157,180,144,189,152,180,255,0,23,2,0,114,0,85,255,255,0,5,5,8,0,255
181,182,182,182,168,161,180,178,255,19,19,4,0,56,0,68,0,255,0,6,6,8,1,255
112,110,108,107,105,106,109,107,255,5,13,4,1,42,0,89,0,255,7,4,3,8,1,255
106,71,114,85,107,89,111,80,255,0,19,3,1,92,0,42,255,255,1,3,2,8,0,255
161,135,155,129,122,117,153,119,244,1,12,2,0,109,0,178,255,255,0,5,4,8,1,255
100,74,97,75,78,47,96,71,255,6,22,3,1,94,0,67,0,255,0,3,2,8,0,255
151,157,136,134,131,127,140,140,255,0,12,3,0,80,0,33,255,255,0,5,5,8,0,255
184,195,181,196,172,200,181,196,239,0,7,3,0,54,0,194,0,255,4,6,6,7,0,255
174,180,174,175,171,171,173,176,255,0,19,3,0,79,0,92,0,255,0,5,6,8,1,255
162,199,162,201,158,197,161,200,227,18,15,2,0,117,0,53,255,255,0,5,6,7,1,255
183,199,150,146,91,113,153,149,241,3,14,2,0,66,0,219,255,255,0,6,6,8,1,255
108,81,101,77,90,60,102,76,255,0,19,2,1,108,0,0,255,255,0,3,3,8,0,255
171,191,164,184,159,176,166,186,255,0,11,3,0,81,0,122,0,255,0,5,6,8,0,255
152,160,139,127,110,87,140,131,249,27,14,2,0,133,0,198,239,255,0,5,5,8,1,255
126,113,145,125,157,176,141,116,240,0,19,2,0,95,0,47,255,255,3,4,3,7,0,255
95,90,93,86,85,74,93,86,253,8,11,5,1,42,0,124,115,255,2,3,3,8,0,255
92,88,98,97,81,68,95,86,255,7,13,4,1,65,0,56,0,255,0,3,3,8,1,255
98,102,90,77,87,59,92,81,255,0,18,2,0,162,1,0,0,255,0,3,3,8,0,255
131,93,144,121,97,48,135,104,255,1,15,2,0,113,0,64,0,255,4,4,3,8,1,255
143,168,126,152,118,150,130,158,255,0,9,2,0,108,0,84,0,255,0,4,5,8,1,255
138,143,137,142,127,125,136,141,238,5,9,2,0,71,0,97,0,255,0,4,4,8,1,255
181,196,162,167,145,137,166,173,255,3,10,2,0,97,0,163,255,255,0,6,6,8,0,255
129,113,146,145,114,79,137,123,255,3,10,1,0,184,0,14,255,255,2,4,3,8,0,255
140,116,164,157,99,45,149,132,250,0,16,1,0,125,0,65,68,255,0,4,4,8,0,255
134,170,129,161,131,165,131,164,246,0,21,2,0,165,1,0,255,255,4,4,5,8,0,255
106,77,136,140,76,26,120,108,255,0,18,2,1,112,0,13,0,255,2,3,2,8,0,255
119,125,118,123,109,106,117,122,203,0,10,2,0,71,0,89,0,255,0,4,4,6,0,255
183,198,185,189,138,159,179,186,253,1,12,4,0,53,0,151,255,255,0,6,6,8,1,255
117,86,116,91,98,62,114,85,255,0,17,2,1,103,0,63,0,255,1,4,3,8,1,255
99,147,99,135,93,132,98,140,248,3,19,2,0,131,0,11,0,255,0,3,5,8,0,255
135,156,135,123,125,117,134,127,255,1,11,2,0,88,0,70,0,255,0,4,5,8,0,255
153,148,129,114,110,91,134,121,252,1,8,4,1,38,0,230,32,255,0,5,5,8,0,255
165,179,164,178,160,172,164,178,255,0,14,4,0,56,0,91,0,255,0,5,6,8,0,255
132,152,126,145,106,106,126,143,255,1,10,2,0,116,0,255,0,255,0,4,5,8,0,255
108,94,114,109,86,49,109,96,255,0,21,2,1,107,0,126,0,255,0,3,3,8,0,255
146,127,138,115,103,35,136,108,255,17,23,1,0,143,0,42,255,255,0,5,4,8,1,255
139,108,131,102,103,85,130,101,255,15,15,2,0,119,0,38,0,255,0,4,3,8,1,255
183,188,184,193,181,191,183,191,255,0,10,9,0,23,0,178,0,255,0,6,6,8,1,255
113,103,108,97,102,74,109,96,237,0,8,2,0,98,0,105,255,255,0,4,3,7,1,255
154,160,151,159,148,157,151,158,254,0,5,2,0,124,0,48,255,255,0,5,5,8,0,255
123,103,130,112,99,75,124,105,247,2,16,2,0,75,0,71,255,255,1,4,3,7,0,255
111,94,108,92,91,64,107,89,247,0,17,1,0,159,0,36,255,255,0,3,3,8,0,255
95,75,94,75,88,60,93,73,255,1,14,2,1,114,0,105,255,255,0,3,3,8,0,255
90,60,97,72,83,43,93,64,255,0,15,2,1,143,0,12,255,255,0,3,2,8,0,255
171,189,174,185,90,124,163,179,245,0,10,4,0,56,0,113,0,255,0,5,6,8,0,255
114,147,113,139,74,110,109,138,255,0,6,2,0,110,0,189,0,255,0,4,5,8,0,255
70,24,80,42,59,11,75,33,255,0,19,2,1,130,0,24,0,255,6,2,1,8,0,255
123,121,118,117,106,97,118,116,255,3,18,1,0,205,0,14,255,255,0,4,3,8,0,255
96,60,91,53,77,41,91,53,245,0,19,3,1,85,0,56,0,255,4,3,2,8,1,255
153,155,152,154,112,94,148,147,255,20,9,2,0,69,0,145,0,255,0,5,5,8,2,255
109,111,114,116,103,111,111,114,241,6,9,2,0,116,0,85,0,255,0,3,4,7,0,255
129,110,129,109,124,115,129,109,255,3,15,2,0,111,0,24,255,255,0,4,3,8,0,255
99,83,99,96,75,73,96,88,255,8,19,2,1,115,0,28,0,255,2,3,3,8,0,255
162,200,161,196,153,165,160,194,255,0,13,2,0,144,0,54,255,255,1,5,6,8,0,255
134,120,127,108,92,68,125,108,255,0,13,3,1,63,0,87,255,255,2,4,4,8,1,255
96,65,98,69,80,56,95,66,255,0,12,2,0,142,0,48,255,255,23,3,2,8,0,255
129,155,130,151,115,146,128,152,255,0,18,1,0,151,0,43,255,255,0,4,5,8,0,255
98,99,98,94,88,88,97,94,255,0,12,3,1,66,0,91,0,255,0,3,3,8,0,255
99,117,97,106,79,64,96,105,247,6,11,1,0,117,0,129,255,255,2,3,3,6,0,255
99,58,89,37,80,34,91,43,255,0,22,2,1,140,0,27,0,255,0,3,2,8,0,255
138,72,141,82,117,36,137,74,255,0,22,1,0,173,0,38,0,255,0,4,2,8,0,255
155,158,149,147,125,120,148,147,238,0,7,3,0,55,0,43,0,255,3,5,5,7,0,255
137,131,132,121,107,99,131,121,228,0,13,3,0,74,0,111,255,255,0,4,4,7,0,255
115,154,117,146,87,63,113,141,252,0,22,1,0,186,0,5,0,255,4,4,5,8,0,255
117,133,122,120,102,101,118,120,255,0,8,3,0,62,0,91,255,255,0,4,4,7,0,255
142,136,146,138,114,76,141,135,255,0,8,2,0,80,0,62,255,255,0,4,4,8,0,255
124,95,123,102,95,51,120,95,255,0,16,1,0,161,0,65,0,255,0,4,3,8,0,255
137,110,145,121,106,70,138,110,247,11,12,2,1,88,0,93,255,255,0,4,4,8,1,255
138,134,131,127,116,111,131,127,228,5,8,2,0,73,0,86,0,255,0,4,4,7,1,255
136,117,140,133,110,72,135,120,255,0,10,2,0,101,0,53,255,255,0,4,4,8,1,255
140,199,154,209,140,213,148,206,243,29,13,1,0,152,0,76,255,255,0,4,6,7,1,255
119,118,119,115,95,94,116,115,255,8,17,3,1,73,0,71,255,255,1,4,4,8,1,255
107,86,104,80,92,55,103,80,255,0,17,2,1,103,0,73,255,255,0,3,3,8,0,255
133,156,139,156,132,156,136,156,254,4,12,2,0,105,0,66,255,255,3,4,5,8,0,255
116,110,123,114,104,84,119,110,255,0,12,2,0,79,0,110,89,255,2,4,3,7,0,255
147,150,151,148,147,143,149,149,255,0,14,2,0,78,0,99,0,255,0,5,5,8,0,255
136,152,132,151,121,148,132,150,251,2,15,2,0,92,0,171,255,255,0,4,5,8,0,255
119,175,125,176,117,176,123,175,255,5,19,1,0,164,0,22,0,255,0,4,5,8,0,255
107,100,110,100,98,89,108,98,245,0,8,2,0,94,0,54,0,255,0,3,3,7,1,255
125,144,128,142,107,102,125,139,255,3,18,2,0,132,0,26,255,255,1,4,4,8,0,255
131,156,154,167,116,152,143,161,254,3,14,1,0,122,0,49,0,255,3,4,5,8,0,255
148,149,156,162,114,83,149,151,254,0,14,6,0,42,0,125,0,255,0,5,5,7,0,255
122,109,134,120,128,110,130,115,255,2,14,2,0,143,0,45,0,255,1,4,3,8,0,255
94,63,93,62,72,31,91,58,255,0,25,2,1,116,0,81,255,255,0,3,2,8,0,255
139,146,143,148,138,134,141,146,255,4,15,2,0,111,0,66,0,255,1,4,4,8,0,255
126,140,133,136,105,121,128,135,232,3,11,1,0,106,0,63,0,255,0,4,4,7,1,255
133,146,136,144,119,131,133,143,218,8,8,2,0,82,0,75,0,255,0,4,4,7,1,255
126,144,117,139,104,136,119,140,255,0,11,2,0,98,0,113,9,255,0,4,5,8,0,255
142,139,146,140,124,119,142,137,255,3,16,3,0,62,0,143,255,255,3,4,4,8,0,255
155,162,152,160,137,130,152,157,242,4,10,4,0,42,0,196,0,255,3,5,5,7,1,255
107,94,106,85,95,49,105,83,251,0,18,1,0,148,0,43,0,255,0,3,3,8,1,255
118,130,129,144,124,137,125,140,255,9,15,3,0,69,0,52,255,255,1,4,4,8,0,255
76,49,82,63,65,32,79,53,246,0,19,2,1,111,0,10,0,255,0,2,2,7,0,255
109,106,114,109,65,39,107,101,255,0,13,3,1,75,0,60,255,255,4,3,3,8,0,255
