RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
125,121,125,120,103,97,123,112,255,4,7,3,0,70,0,82,123,255,0,4,4,8,1,255
122,121,120,119,60,43,114,112,255,1,11,2,0,88,0,211,70,255,0,4,4,8,0,255
133,134,139,136,118,72,135,124,251,7,9,2,0,128,0,192,0,255,0,4,4,7,0,255
115,112,127,126,77,72,118,115,249,1,6,3,0,43,0,122,0,255,0,4,4,8,0,255
102,64,117,93,100,49,111,78,255,5,13,2,0,151,0,246,255,255,0,3,2,8,0,255
106,99,112,106,59,37,104,97,254,0,6,2,0,113,0,136,255,255,0,3,3,8,0,255
138,132,130,136,74,78,126,129,252,1,6,2,0,68,0,71,129,255,0,4,4,8,0,255
118,137,129,138,57,71,117,127,250,1,6,4,0,42,0,137,0,255,0,4,4,7,0,255
133,128,126,116,81,53,123,113,255,1,11,3,1,80,0,112,0,255,0,4,4,8,0,255
92,84,126,127,78,65,111,105,231,4,5,3,0,52,0,41,120,255,0,3,3,7,0,255
97,67,104,72,91,40,100,68,254,8,12,1,0,151,0,175,146,255,0,3,2,8,0,255
108,102,112,118,82,78,107,109,254,4,6,3,0,61,0,191,0,255,0,3,3,8,0,255
83,79,101,109,49,42,89,99,253,2,5,3,0,68,0,31,0,255,0,3,2,7,0,255
118,134,133,139,109,129,126,137,240,0,10,3,0,48,0,112,255,255,0,4,4,8,0,255
103,92,116,119,55,48,105,103,229,5,7,3,0,44,0,187,0,255,0,3,3,7,1,255
113,117,127,140,90,70,119,134,221,4,9,2,0,61,0,192,0,255,0,4,4,8,0,255
73,67,91,89,44,37,80,74,230,3,6,4,1,38,0,135,0,255,0,2,2,7,0,255
130,111,132,115,91,73,127,109,254,1,11,2,0,95,0,232,191,255,1,4,4,8,0,255
140,163,162,176,49,10,143,161,236,2,13,4,0,54,0,153,228,255,0,4,5,8,0,255
135,153,148,159,116,138,140,154,248,13,10,3,0,48,0,162,23,255,0,4,5,7,1,255
100,88,119,113,64,38,107,107,253,2,8,3,1,55,0,62,0,255,0,3,3,8,0,255
102,108,123,124,63,65,110,109,254,10,5,6,1,23,0,113,0,255,0,3,3,8,0,255
149,146,155,156,90,75,146,147,250,4,11,3,0,71,0,138,50,255,0,5,5,8,1,255
110,103,119,125,84,45,112,110,254,3,7,2,0,110,0,250,255,255,0,3,3,8,0,255
116,111,145,139,86,77,129,122,247,3,15,4,0,34,0,112,0,255,0,4,3,8,0,255
111,102,127,130,61,53,114,112,253,10,9,3,0,43,0,71,0,255,0,3,3,8,1,255
123,119,136,143,63,52,124,128,228,14,6,3,0,51,0,162,0,255,0,4,4,7,1,255
95,79,96,80,62,47,92,78,254,0,9,2,1,85,0,150,0,255,0,3,3,8,0,255
61,46,96,88,17,4,76,68,250,1,9,3,1,64,0,44,0,255,0,2,1,8,0,255
105,124,131,134,99,109,119,124,246,9,8,2,0,65,0,180,0,255,0,3,4,8,0,255
94,88,100,107,56,48,93,93,192,34,6,2,0,53,0,145,98,255,0,3,3,7,1,255
95,85,113,105,72,67,103,96,244,9,9,5,1,28,0,115,104,255,0,3,3,8,1,255
124,131,138,145,66,64,126,136,246,4,12,2,0,63,0,190,59,255,1,4,4,8,1,255
119,116,136,133,77,78,124,122,255,13,9,3,0,57,0,255,42,255,0,4,4,8,0,255
117,107,130,116,71,63,119,110,255,17,8,3,1,59,0,116,46,255,0,4,3,8,0,255
112,90,128,137,91,51,119,107,255,12,13,2,1,82,0,139,0,255,1,4,3,8,1,255
109,102,131,125,68,65,117,110,250,30,4,3,0,47,0,136,0,255,0,3,3,8,1,255
