RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
86,67,73,58,35,29,72,59,237,0,20,4,1,49,0,76,0,255,0,3,2,8,0,255
93,86,73,67,62,50,78,73,255,0,8,3,1,56,0,78,33,255,0,3,3,8,0,255
79,51,58,54,35,22,61,50,238,0,15,6,2,34,0,66,0,255,1,2,2,8,0,255
125,117,123,118,96,89,120,115,255,1,8,4,1,44,0,122,0,255,0,4,4,8,1,255
105,111,92,96,72,66,94,100,228,3,7,2,0,77,0,115,0,255,0,3,3,8,0,255
152,199,83,85,43,40,99,114,208,3,10,1,0,79,0,64,117,255,0,5,6,8,1,255
130,128,107,94,89,64,112,111,234,0,8,2,0,88,0,90,0,255,0,4,4,8,0,255
156,163,110,73,58,6,118,97,255,4,17,2,0,125,0,249,118,255,0,5,5,8,0,255
102,98,93,93,63,46,93,91,228,9,7,2,0,65,0,89,0,255,0,3,3,8,1,255
96,91,83,84,72,73,86,94,238,3,12,3,0,59,0,66,103,255,0,3,3,8,0,255
113,105,101,89,94,80,104,96,255,0,10,2,0,76,0,43,162,255,0,4,3,8,0,255
139,125,132,126,114,107,132,119,255,5,10,3,1,70,0,152,87,255,0,4,4,8,2,255
82,72,78,69,68,51,78,70,215,0,6,2,0,105,0,31,0,255,0,3,2,8,0,255
111,103,91,87,75,72,95,93,254,0,11,3,0,61,0,33,130,255,0,3,3,8,0,255
105,92,78,66,60,38,84,79,254,1,7,3,1,78,0,31,0,255,0,3,3,8,0,255
90,76,65,58,32,21,69,65,226,0,7,3,1,53,0,131,0,255,1,3,2,8,0,255
141,158,55,51,22,4,77,79,246,2,12,5,1,45,0,109,0,255,0,4,5,8,0,255
127,139,113,119,77,67,113,117,254,11,7,2,0,87,0,103,0,255,0,4,4,8,0,255
49,35,37,36,40,39,41,37,153,6,4,5,1,21,0,55,116,255,0,2,1,8,0,255
113,97,78,82,39,22,84,86,219,9,9,3,0,53,0,151,117,255,0,4,3,8,0,255
99,72,80,61,59,39,83,71,251,0,11,2,1,84,0,72,2,255,0,3,2,8,0,255
115,125,109,99,60,40,105,118,238,0,9,2,0,109,0,70,0,255,2,4,4,8,0,255
107,107,105,104,79,72,103,100,254,0,9,3,0,65,0,135,0,255,0,3,3,8,0,255
112,102,84,55,44,8,88,76,238,0,13,2,0,89,0,133,0,255,0,4,3,8,0,255
131,131,114,120,89,79,116,113,255,4,11,3,0,61,0,137,188,255,0,4,4,8,0,255
95,88,83,91,55,57,83,89,255,0,8,2,0,85,0,75,0,255,0,3,3,8,0,255
71,48,56,53,34,26,58,51,178,1,10,3,1,43,0,87,31,255,0,2,2,8,0,255
109,96,87,77,22,8,86,79,246,2,11,3,1,57,0,120,0,255,0,3,3,8,0,255
69,51,61,53,38,16,61,50,255,0,19,7,2,56,1,35,0,255,1,2,2,8,0,255
126,126,114,98,103,79,116,106,252,0,11,2,0,84,0,188,0,255,0,4,4,8,0,255
112,114,98,104,45,33,96,103,249,0,7,2,0,65,0,96,0,255,0,4,4,8,0,255
100,77,80,85,40,39,82,80,218,1,8,2,0,49,0,64,255,255,1,3,2,8,0,255
102,72,96,89,38,20,91,77,255,5,13,3,1,60,0,89,0,255,0,3,2,8,0,255
134,142,71,61,36,26,86,89,207,0,7,2,0,72,0,105,0,255,0,4,4,8,0,255
97,93,86,74,51,40,86,92,237,0,6,2,0,87,0,117,238,255,0,3,3,8,0,255
129,120,129,131,84,68,123,122,249,0,14,3,0,54,0,154,49,255,0,4,4,8,0,255
129,127,100,98,89,89,108,124,239,0,13,3,0,56,0,160,0,255,0,4,4,8,0,255
104,82,70,69,69,66,80,81,236,11,8,5,1,34,0,123,0,255,1,3,3,8,0,255
108,98,93,58,69,25,95,76,252,3,9,2,1,87,0,41,0,255,1,3,3,8,0,255
91,74,70,65,43,28,73,68,241,5,14,3,1,82,0,13,0,255,0,3,2,8,0,255
119,105,134,135,38,36,119,127,238,34,12,3,0,37,0,197,231,255,0,4,3,8,1,255
112,90,114,120,41,31,105,110,234,2,11,3,0,53,0,93,24,255,0,4,3,8,0,255
114,94,111,116,38,38,104,111,243,3,9,3,0,43,0,57,255,255,0,4,3,8,0,255
90,63,92,71,56,31,87,68,255,9,17,3,1,70,0,75,0,255,0,3,2,8,0,255
82,72,78,74,44,30,75,74,235,2,9,3,1,61,0,47,0,255,0,3,2,8,0,255
127,121,119,127,84,80,117,127,249,18,9,2,0,95,0,157,0,255,1,4,4,8,0,255
79,64,65,66,50,50,68,66,203,1,9,3,0,40,0,96,0,255,1,2,2,8,0,255
105,98,69,50,65,41,79,72,251,0,9,4,1,59,0,70,0,255,0,3,3,8,0,255
129,127,100,101,83,75,107,108,248,0,6,2,0,65,0,149,181,255,0,4,4,8,0,255
141,148,114,107,87,89,119,113,253,0,7,2,0,78,0,184,0,255,0,4,5,8,0,255
87,63,63,64,31,26,67,68,238,0,11,7,1,21,0,57,64,255,0,3,2,8,0,255
109,103,102,102,71,63,101,105,243,4,10,2,0,66,0,129,0,255,0,3,3,8,1,255
119,131,111,127,88,101,111,122,231,2,13,2,0,73,0,188,255,255,1,4,4,7,0,255
110,106,101,98,91,86,103,98,248,6,12,3,0,71,0,54,41,255,0,3,3,8,0,255
100,97,87,88,50,32,87,96,229,0,15,3,0,52,0,94,44,255,0,3,3,8,0,255
147,153,91,92,69,37,105,116,238,14,12,2,0,83,0,186,151,255,1,5,5,8,1,255
103,100,91,98,48,36,89,90,245,3,10,2,0,69,0,36,0,255,0,3,3,7,0,255
106,102,112,115,83,60,107,108,251,0,14,3,0,69,0,124,203,255,0,3,3,8,0,255
129,120,106,94,98,75,112,89,255,0,15,2,0,119,0,211,199,255,0,4,4,8,0,255
129,120,139,154,85,76,130,139,255,0,14,2,0,88,0,96,255,255,0,4,4,8,0,255
98,101,80,62,47,35,82,68,223,12,10,3,1,69,0,38,41,255,0,3,3,8,0,255
98,90,81,76,44,32,82,76,249,0,12,3,0,53,0,111,176,255,0,3,3,8,0,255
120,120,94,100,78,83,100,98,218,1,6,2,0,77,0,119,0,255,1,4,4,8,0,255
96,93,89,102,73,70,89,98,222,0,14,3,0,57,0,105,206,255,0,3,3,8,0,255
99,81,56,48,27,13,66,66,194,2,4,2,0,71,0,42,0,255,0,3,3,8,0,255
101,86,75,71,37,20,78,84,252,0,8,3,0,61,0,161,0,255,0,3,3,8,0,255
78,68,77,79,61,56,76,77,238,2,6,2,0,59,0,117,81,255,0,2,2,8,0,255
156,185,148,133,114,68,147,144,252,14,7,2,0,121,0,158,0,255,1,5,6,8,1,255
91,20,33,13,16,14,48,14,200,6,19,2,1,87,0,11,0,255,0,3,1,8,0,255
96,99,88,92,66,61,88,94,255,0,10,2,0,99,0,91,0,255,1,3,3,8,0,255
91,72,97,98,49,42,90,91,248,0,14,3,0,51,0,82,139,255,0,3,2,8,0,255
72,8,30,18,13,12,41,14,235,0,12,2,1,71,0,1,235,255,0,2,0,8,0,255
97,84,78,70,67,53,82,76,224,0,7,3,0,65,0,47,98,255,0,3,3,8,0,255
161,237,84,85,41,40,102,119,215,4,9,2,0,78,0,60,174,255,1,5,7,8,1,255
93,68,82,66,58,41,83,70,253,0,10,3,1,79,0,30,0,255,0,3,2,8,0,255
93,94,72,73,36,17,74,80,232,0,6,2,0,84,0,28,158,255,0,3,3,8,0,255
73,36,50,41,29,23,55,38,213,1,14,3,1,48,0,28,182,255,0,2,1,8,0,255
70,24,30,16,13,6,40,21,198,0,7,3,1,62,0,32,177,255,0,2,1,8,0,255
