RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
134,132,108,105,74,62,112,103,246,1,7,2,0,68,0,183,255,255,0,4,4,8,1,255
104,102,101,95,88,77,100,97,255,13,11,5,1,45,0,142,0,255,0,3,3,8,0,255
121,126,106,97,55,35,105,95,255,2,9,2,1,88,0,144,0,255,0,4,4,8,0,255
76,60,69,35,63,35,70,39,255,0,12,3,1,78,0,165,0,255,1,2,2,8,0,255
155,185,109,94,79,58,119,121,255,5,7,2,0,73,0,107,0,255,0,5,6,8,1,255
51,20,44,23,32,11,45,20,245,0,11,5,2,48,0,12,223,255,0,2,1,8,0,255
111,107,111,108,78,78,107,112,223,0,5,3,0,54,0,172,0,255,1,3,3,8,0,255
120,128,114,131,69,57,111,122,227,5,11,4,0,38,0,112,0,255,1,4,4,8,0,255
129,105,96,82,84,72,105,105,245,0,6,2,0,87,0,84,207,255,1,4,3,8,0,255
99,92,94,90,77,73,93,90,253,1,6,3,1,54,0,84,255,255,0,3,3,8,0,255
116,116,91,81,75,60,97,95,255,0,9,3,1,80,0,30,0,255,1,4,4,8,0,255
147,139,114,118,68,66,118,125,255,3,15,3,0,81,0,126,3,255,0,5,4,8,1,255
80,52,70,57,66,53,72,59,254,2,10,4,1,54,0,38,0,255,0,2,2,8,0,255
89,64,60,48,31,18,65,53,255,0,11,4,1,56,0,188,0,255,0,3,2,8,0,255
163,182,136,115,133,110,144,118,255,0,13,1,0,212,0,252,0,255,0,5,6,8,0,255
84,80,37,22,28,13,50,41,255,0,17,9,2,33,0,9,0,255,0,3,2,8,0,255
89,66,85,79,78,66,85,78,255,4,9,5,1,43,0,66,7,255,0,3,2,8,0,255
151,159,115,120,89,77,123,119,248,3,6,2,0,61,0,151,25,255,0,5,5,8,1,255
154,168,144,157,125,122,145,149,253,8,6,2,0,82,0,150,0,255,0,5,5,8,0,255
138,138,132,133,100,90,130,129,255,0,4,3,0,47,0,148,255,255,0,4,4,8,0,255
93,87,94,83,56,49,89,82,254,6,9,5,1,45,0,116,151,255,0,3,3,8,1,255
120,113,100,79,76,62,103,83,255,12,9,2,1,82,0,71,0,255,0,4,4,8,1,255
143,157,99,94,61,50,108,102,250,0,5,2,0,78,0,196,0,255,0,4,5,8,0,255
94,83,84,79,71,63,85,81,246,3,9,3,1,51,0,64,255,255,0,3,3,7,0,255
36,16,52,42,31,10,45,32,236,0,11,4,1,51,0,0,255,255,0,1,0,8,0,255
100,74,82,71,37,9,82,69,249,0,9,3,1,77,0,9,255,255,0,3,3,8,0,255
121,101,94,50,73,55,100,60,255,2,16,2,1,120,0,226,0,255,0,4,3,8,0,255
144,143,129,126,97,93,129,128,255,1,6,2,0,73,0,204,0,255,0,5,4,8,0,255
106,86,140,148,200,237,137,139,223,0,13,3,0,72,0,148,26,255,0,3,3,8,0,255
129,117,106,93,78,65,110,94,255,0,11,3,1,77,0,98,83,255,1,4,4,8,0,255
35,19,48,41,30,14,42,33,221,2,9,5,1,42,0,2,0,255,0,1,1,7,0,255
91,63,57,46,29,16,64,50,237,0,11,3,1,56,0,159,255,255,0,3,2,8,0,255
87,69,64,51,46,29,69,59,254,0,11,4,1,59,0,39,0,255,1,3,2,8,0,255
190,215,164,110,162,134,172,130,255,5,32,1,0,186,0,255,0,255,0,6,7,8,0,255
156,141,144,120,141,100,147,117,255,8,14,1,0,190,0,251,0,255,1,5,5,8,0,255
152,195,76,55,62,25,97,87,253,7,23,3,1,69,0,122,71,255,0,5,6,8,0,255
119,93,115,116,70,53,111,100,253,2,6,3,1,62,0,46,255,255,0,4,3,8,0,255
115,112,86,89,67,61,93,90,255,6,7,3,1,56,0,125,0,255,0,4,4,8,0,255
155,164,130,145,91,93,133,150,251,4,14,3,0,54,0,131,41,255,1,5,5,8,0,255
124,128,63,56,49,37,80,76,230,2,11,4,1,42,0,65,0,255,0,4,4,7,0,255
118,87,78,70,47,41,86,78,255,3,11,4,1,48,0,157,0,255,0,4,3,8,0,255
186,198,179,202,192,213,183,202,246,16,20,6,0,3,0,194,255,255,0,6,6,8,1,255
199,247,177,247,172,247,183,247,255,10,24,2,0,165,0,247,255,255,1,6,8,8,0,255
149,146,114,102,55,45,118,114,255,1,11,3,0,60,0,172,255,255,0,5,5,8,1,255
87,71,78,73,52,38,78,71,252,3,11,3,1,70,0,64,255,255,0,3,2,8,0,255
