RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
200,204,130,151,95,111,147,162,208,8,10,3,0,48,0,214,0,255,0,6,6,8,1,255
200,205,132,151,96,111,148,162,209,5,12,4,0,28,0,200,30,255,0,6,6,8,1,255
119,104,79,85,70,74,90,90,219,1,6,7,0,19,0,90,117,255,0,4,3,8,0,255
61,25,48,31,37,17,51,28,243,6,15,5,2,48,0,6,217,255,0,2,1,8,0,255
140,134,142,146,138,148,141,143,254,0,14,7,0,27,0,132,43,255,0,4,4,8,0,255
159,159,119,139,97,89,129,132,241,7,9,4,0,40,0,152,0,255,0,5,5,8,1,255
142,144,114,109,111,102,122,119,229,5,7,2,0,56,0,149,0,255,0,4,4,8,1,255
159,160,130,128,126,111,138,128,255,5,9,2,0,69,0,179,0,255,0,5,5,8,1,255
182,184,143,163,147,174,155,168,251,0,15,2,0,91,0,190,0,255,0,6,6,8,0,255
140,139,136,136,128,138,136,134,254,0,13,1,0,148,0,214,186,255,1,4,4,8,0,255
131,128,112,127,98,108,116,124,231,0,10,6,0,17,0,118,0,255,0,4,4,8,0,255
113,104,78,93,70,84,88,95,231,5,4,4,0,28,0,105,0,255,0,4,3,8,1,255
167,180,144,172,149,181,152,173,215,6,16,3,0,70,0,179,0,255,0,5,6,8,1,255
148,135,123,126,88,86,127,127,217,15,4,4,0,26,0,147,0,255,0,5,4,8,1,255
154,134,104,95,87,77,117,110,253,3,9,4,1,39,0,87,0,255,0,5,4,8,1,255
157,163,126,160,91,105,131,152,238,0,10,2,0,70,0,133,229,255,0,5,5,7,1,255
139,132,88,94,83,88,103,99,241,1,9,3,0,50,0,124,0,255,0,4,4,7,0,255
152,155,112,112,95,96,122,126,254,0,8,4,0,41,0,53,0,255,0,5,5,8,0,255
137,138,74,73,71,63,92,96,252,6,5,4,0,49,0,111,0,255,0,4,4,7,0,255
168,176,152,161,141,155,155,163,242,1,9,2,0,82,0,193,184,255,0,5,6,8,1,255
137,147,117,92,68,80,117,98,246,18,9,2,0,79,0,148,0,255,0,4,5,7,1,255
145,159,119,119,100,94,125,115,226,10,10,2,0,90,0,168,203,255,0,5,5,7,0,255
77,61,54,50,43,36,59,62,255,0,15,5,1,54,0,59,255,255,1,2,2,8,0,255
95,69,56,55,45,39,66,58,253,0,10,6,1,36,0,54,185,255,0,3,2,8,0,255
183,187,170,185,160,186,173,186,255,13,15,3,0,71,0,224,42,255,0,6,6,8,1,255
169,163,110,91,86,83,125,123,246,0,10,2,0,73,0,120,200,255,0,5,5,8,0,255
168,156,116,142,98,130,130,143,249,16,8,5,0,36,0,154,0,255,0,5,5,8,1,255
