RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
96,106,110,119,79,79,102,106,255,3,16,2,0,88,0,142,0,255,0,3,3,8,0,255
88,81,91,88,52,43,86,79,255,9,10,2,1,86,0,51,81,255,0,3,3,8,0,255
132,137,126,123,106,105,125,125,253,6,11,2,0,89,0,221,255,255,0,4,4,8,0,255
109,111,111,106,106,107,110,109,242,12,14,2,0,95,0,66,255,255,0,3,3,8,1,255
41,10,51,13,31,9,46,12,255,0,20,5,2,58,0,0,255,255,0,1,0,8,0,255
112,84,129,125,94,82,120,108,255,15,18,3,1,64,0,75,255,255,0,4,3,8,0,255
108,106,127,133,72,69,115,116,255,0,20,3,0,53,0,92,0,255,1,3,3,8,0,255
116,124,136,147,53,50,121,131,251,0,13,3,0,59,0,152,253,255,1,4,4,8,0,255
111,105,124,129,67,63,114,114,247,2,14,2,0,90,0,65,0,255,1,3,3,8,0,255
85,76,108,114,44,25,94,97,252,0,15,2,0,98,0,44,163,255,0,3,2,8,0,255
116,83,95,60,77,36,99,67,255,0,20,2,0,118,0,113,0,255,0,4,2,8,0,255
77,62,100,95,64,52,89,86,253,0,20,3,1,84,0,97,158,255,0,2,2,8,0,255
98,68,106,85,74,56,100,73,255,0,20,3,1,83,0,106,255,255,1,3,2,8,0,255
125,131,116,131,104,127,117,130,255,3,16,2,0,79,0,109,0,255,0,4,4,8,0,255
147,154,153,176,67,50,142,155,255,21,16,2,0,89,0,136,0,255,0,5,5,8,1,255
55,23,47,24,36,17,48,24,255,0,26,5,2,43,0,8,0,255,0,2,1,8,0,255
108,104,117,119,107,111,113,116,248,15,17,2,0,86,0,52,0,255,0,3,3,7,0,255
99,97,99,103,81,79,97,100,255,0,16,3,0,56,0,129,0,255,1,3,3,8,0,255
93,95,85,82,66,60,85,84,255,0,25,5,1,32,0,100,0,255,1,3,3,8,0,255
138,145,123,123,79,55,123,121,255,2,18,2,0,108,0,61,255,255,0,4,4,8,0,255
73,37,74,50,44,16,70,46,247,0,16,3,1,95,0,48,32,255,0,2,1,8,0,255
93,82,107,104,81,62,100,96,252,0,13,2,0,135,0,47,194,255,0,3,3,8,0,255
123,102,133,123,87,84,125,114,254,1,19,3,0,48,0,72,0,255,0,4,3,8,0,255
73,11,65,21,35,6,64,19,255,0,31,3,1,100,0,14,124,255,0,2,0,8,0,255
92,72,92,81,75,49,90,79,255,0,12,3,1,84,0,34,255,255,0,3,2,8,0,255
90,71,100,91,75,68,94,85,255,5,16,5,1,47,0,54,12,255,1,3,2,8,1,255
120,129,145,163,92,94,132,144,254,0,22,5,0,23,0,0,102,255,0,4,4,8,0,255
71,38,71,49,47,23,68,43,238,0,20,3,1,78,0,27,157,255,0,2,1,7,0,255
94,66,94,87,54,31,89,84,255,0,21,3,1,89,0,47,127,255,0,3,2,8,0,255
60,31,62,49,47,31,60,44,255,0,20,5,2,48,0,60,31,255,0,2,1,8,0,255
77,60,83,68,74,67,80,65,255,0,12,5,1,48,0,65,106,255,0,2,2,8,0,255
67,49,69,68,31,17,64,58,228,0,20,5,2,38,0,105,202,255,0,2,2,7,0,255
102,84,111,116,67,47,104,106,255,0,11,3,0,84,0,237,0,255,0,3,3,8,0,255
109,102,121,133,59,40,110,113,251,5,15,3,0,46,0,165,224,255,0,3,3,8,0,255
145,171,154,206,134,191,149,193,246,3,22,2,0,149,0,149,0,255,0,5,5,8,0,255
84,56,75,61,71,56,77,62,248,0,16,3,1,80,0,122,0,255,0,3,2,8,0,255
89,88,80,98,50,32,80,91,255,0,21,3,1,105,0,44,133,255,0,3,3,8,0,255
110,114,109,104,68,32,105,102,252,0,20,2,0,117,0,18,0,255,0,3,4,7,0,255
115,127,104,97,49,41,101,103,249,3,21,2,0,114,0,86,0,255,0,4,4,8,0,255
178,233,167,225,156,213,169,225,255,0,22,2,0,137,0,110,0,255,1,6,7,8,0,255
145,151,131,141,108,117,133,141,249,12,14,2,0,90,0,139,65,255,0,5,5,8,0,255
67,31,57,42,38,14,58,38,255,2,25,3,1,66,0,7,0,255,0,2,1,8,0,255
126,133,116,116,71,65,114,113,255,8,10,2,0,87,0,94,68,255,1,4,4,8,0,255
73,61,81,74,42,25,74,64,255,0,22,3,1,66,0,9,0,255,0,2,2,8,0,255
81,71,71,63,47,36,71,65,233,2,13,3,1,63,0,107,0,255,0,3,2,8,0,255
154,209,130,177,103,159,135,175,255,0,17,2,0,158,0,182,129,255,0,5,7,8,0,255
108,125,118,136,46,18,107,121,251,0,12,2,0,98,1,143,29,255,0,3,4,8,0,255
154,193,122,148,30,16,121,148,237,0,6,2,0,101,0,226,255,255,1,5,6,8,0,255
144,152,151,173,68,51,139,152,255,22,14,2,0,100,0,103,78,255,0,5,5,8,1,255
137,132,138,150,90,65,132,139,255,0,24,2,0,101,0,28,0,255,0,4,4,8,0,255
175,208,170,201,118,129,165,198,252,0,21,3,0,59,0,202,46,255,1,5,7,8,0,255
127,146,105,108,84,82,109,117,245,2,18,2,0,73,0,122,255,255,0,4,4,8,0,255
79,60,85,74,48,33,79,67,254,0,18,4,1,60,0,53,10,255,0,2,2,8,0,255
112,111,100,93,49,40,98,98,248,2,21,2,0,114,0,93,0,255,1,4,4,8,0,255
135,160,123,138,97,99,124,139,254,1,13,2,0,93,0,138,0,255,0,4,5,8,0,255
87,59,96,84,54,46,89,73,255,0,16,4,1,58,0,154,0,255,0,3,2,8,0,255
119,144,116,131,77,58,113,117,255,0,15,2,0,123,0,136,160,255,1,4,5,8,0,255
93,83,90,84,35,22,85,76,255,0,17,3,1,84,0,115,94,255,0,3,3,8,0,255
112,103,120,126,96,74,115,114,255,7,19,2,0,129,0,89,0,255,1,4,3,8,0,255
109,93,113,108,69,63,107,94,244,0,18,2,0,116,0,167,83,255,1,3,3,8,0,255
103,68,109,104,58,51,101,92,255,5,21,3,1,74,0,172,0,255,0,3,2,8,0,255
73,38,73,47,45,16,70,44,255,0,15,3,1,91,0,49,61,255,0,2,1,8,0,255
95,89,84,83,46,41,83,83,253,0,21,3,0,65,0,98,0,255,0,3,3,8,0,255
140,137,136,129,108,77,134,125,250,19,10,1,0,158,0,214,0,255,1,4,4,8,1,255
85,69,102,90,38,12,89,69,247,2,19,2,0,128,0,82,0,255,1,3,2,8,0,255
91,76,98,89,74,58,93,83,252,17,12,3,1,66,0,99,0,255,0,3,2,8,1,255
104,158,89,101,56,18,90,118,247,0,32,2,1,145,0,27,0,255,0,3,5,8,0,255
82,75,85,86,74,66,82,86,247,1,9,3,0,71,0,68,0,255,1,3,2,8,0,255
94,75,86,76,53,42,85,72,245,0,16,3,1,58,0,84,0,255,0,3,2,8,0,255
116,133,133,155,48,36,118,135,236,4,18,2,0,79,0,137,206,255,0,4,4,8,0,255
95,79,93,81,34,30,87,75,247,0,20,3,1,60,0,58,21,255,0,3,3,8,0,255
117,110,130,128,108,99,124,119,255,8,17,2,0,89,0,255,78,255,0,4,3,8,1,255
86,74,108,120,72,65,97,103,254,1,16,2,0,109,0,46,0,255,0,3,2,8,0,255
