RedMean,RedMedian,GreenMean,GreenMedian,BlueMean,BlueMedian,Mean,Median,Maximum,Minimum,Std_Dev,Kurtosis,Skewness,IQR,Entropy,FFT_Mean,FFT_Median,FFT_Maximum,FFT_Minimum,Wave_Mean,Wave_Median,Wave_Maximum,Wave_Minimum,DCT
139,138,140,137,113,116,137,132,244,0,12,3,0,51,0,173,45,255,1,4,4,8,1,255
145,143,134,132,66,68,130,126,227,6,17,3,0,55,0,132,143,255,0,5,4,8,1,255
104,97,112,109,103,104,109,103,252,4,13,4,1,59,0,135,176,255,0,3,3,8,0,255
97,121,115,139,82,101,106,129,255,0,6,2,0,87,0,57,71,255,0,3,4,7,0,255
62,30,71,47,62,35,68,44,235,0,15,2,0,118,0,39,120,255,1,2,1,8,0,255
150,199,157,206,163,221,155,206,232,0,25,2,0,144,0,212,0,255,0,5,6,7,0,255
88,89,93,80,78,76,89,87,239,0,16,2,0,108,0,3,0,255,0,3,3,8,0,255
101,108,130,130,56,73,113,116,216,0,7,5,0,20,0,109,124,255,0,3,3,6,0,255
133,159,148,189,169,238,146,186,229,0,15,2,0,100,0,175,0,255,0,4,5,7,0,255
105,99,127,146,138,199,122,139,243,1,14,4,0,28,0,108,0,255,0,3,3,8,0,255
145,152,149,160,125,156,145,159,254,3,17,2,0,95,0,141,0,255,0,5,5,8,0,255
175,174,174,166,126,133,169,164,251,16,11,2,0,105,0,192,0,255,1,6,5,8,1,255
115,137,174,231,174,250,156,206,247,0,9,2,0,114,0,145,0,255,1,4,4,7,0,255
132,133,132,137,108,104,129,133,255,2,8,3,0,69,0,192,0,255,0,4,4,8,0,255
124,115,122,110,112,79,122,107,252,9,12,2,0,147,0,143,0,255,0,4,4,8,0,255
152,151,151,155,134,108,150,149,254,2,12,1,0,164,0,234,159,255,0,5,5,8,0,255
100,79,117,96,70,38,106,83,237,15,10,2,0,98,0,97,130,255,0,3,3,7,0,255
157,189,156,190,127,141,153,187,255,0,12,2,0,100,0,159,0,255,0,5,6,8,1,255
146,164,170,193,197,246,166,191,252,0,11,5,0,46,0,162,0,255,1,5,5,8,0,255
91,84,95,84,67,63,90,82,255,0,19,4,1,54,0,83,255,255,1,3,3,8,0,255
114,87,105,85,40,26,100,86,222,0,12,2,0,96,0,88,0,255,0,4,3,8,0,255
89,82,105,97,48,29,94,85,243,4,11,2,1,85,0,80,112,255,0,3,3,8,0,255
101,95,141,155,80,72,122,126,255,0,7,2,0,67,0,66,255,255,0,3,3,8,0,255
142,147,139,143,126,117,139,134,237,3,17,2,0,81,0,218,56,255,0,4,4,7,0,255
160,189,159,189,136,156,157,188,255,0,16,2,0,85,0,181,92,255,0,5,6,8,1,255
91,81,100,93,84,72,96,88,247,0,15,3,1,67,0,95,255,255,0,3,3,8,0,255
93,77,136,127,74,64,116,118,255,0,11,3,0,62,0,61,0,255,0,3,2,8,0,255
99,101,97,85,53,58,93,96,218,0,10,3,0,42,0,85,0,255,0,3,3,7,0,255
161,174,166,171,137,93,161,159,252,0,19,3,0,73,0,145,183,255,0,5,5,7,0,255
132,126,114,121,98,97,118,120,255,2,8,2,0,79,0,108,0,255,0,4,4,8,0,255
140,134,127,133,111,109,129,129,255,1,8,2,0,96,0,109,0,255,1,4,4,8,1,255
104,100,100,84,78,71,99,88,248,1,13,2,1,115,0,45,0,255,0,3,3,7,0,255
94,98,107,98,71,65,99,88,244,1,14,2,0,89,0,9,0,255,0,3,3,8,0,255
114,102,118,122,92,77,114,110,219,15,8,2,0,85,0,112,0,255,1,4,3,7,1,255
140,163,180,204,195,235,170,195,237,1,9,5,0,22,0,145,255,255,1,4,5,7,0,255
90,84,100,92,75,64,94,83,240,2,9,2,0,62,0,115,0,255,0,3,3,7,0,255
115,113,110,112,65,60,107,106,216,11,9,3,0,49,0,135,71,255,1,4,4,7,1,255
102,96,108,108,95,87,105,100,210,2,11,3,0,40,0,109,149,255,0,3,3,7,0,255
132,138,156,167,148,183,147,160,254,0,5,5,0,40,0,143,0,255,0,4,4,8,1,255
119,151,116,133,77,86,113,136,233,7,9,2,0,92,0,147,134,255,0,4,5,7,0,255
118,113,148,147,83,80,132,130,232,31,7,4,0,24,0,101,0,255,0,4,4,7,1,255
187,225,198,235,195,248,194,233,255,0,19,3,0,102,0,201,74,255,1,6,7,7,0,255
107,91,95,76,47,29,93,75,245,1,12,3,1,62,0,26,0,255,1,3,3,8,0,255
139,163,125,147,102,120,127,155,255,1,11,2,0,95,0,104,112,255,1,4,5,8,0,255
178,156,176,160,162,119,175,152,255,4,9,2,0,151,0,157,154,255,1,6,5,8,1,255
167,170,152,162,114,124,152,160,239,0,14,3,0,54,0,176,245,255,0,5,5,8,1,255
97,83,134,137,75,65,116,118,250,0,9,3,0,64,0,65,179,255,0,3,3,8,0,255
125,105,132,120,117,81,128,109,255,15,9,2,0,134,0,253,255,255,0,4,3,8,1,255
158,164,169,175,154,156,164,169,255,10,10,4,0,44,0,177,64,255,0,5,5,8,1,255
145,155,151,163,133,137,147,159,255,1,13,3,0,58,0,68,0,255,0,5,5,8,1,255
121,121,142,141,143,150,136,136,247,0,10,3,0,71,0,44,94,255,0,4,4,8,0,255
125,132,137,144,114,111,131,143,234,2,8,2,0,71,0,134,165,255,0,4,4,8,1,255
153,134,161,152,148,137,157,144,255,8,10,3,1,50,0,89,0,255,0,5,4,8,1,255
89,89,86,80,33,21,81,78,255,0,10,3,1,97,0,13,255,255,0,3,3,8,0,255
197,221,189,205,136,152,185,201,251,16,10,3,0,90,0,216,255,255,1,6,7,8,1,255
139,141,152,146,118,109,144,141,254,0,8,2,0,81,0,69,245,255,0,4,4,8,0,255
117,126,154,166,54,42,132,136,254,0,12,2,0,70,0,0,253,255,0,4,4,8,0,255
150,174,135,153,77,77,133,152,248,0,18,2,0,91,0,201,0,255,0,5,5,8,0,255
89,70,90,72,61,47,87,69,255,1,11,4,1,46,0,61,255,255,1,3,2,7,0,255
